yr,GEOID,NAME,variable,estimate,moe,summary_est,summary_moe
2008,4748000,"Memphis city, Tennessee",B25004_001,53275,4000,53275,4000
2008,4748000,"Memphis city, Tennessee",B25004_002,25039,3064,53275,4000
2008,4748000,"Memphis city, Tennessee",B25004_003,1506,748,53275,4000
2008,4748000,"Memphis city, Tennessee",B25004_004,7272,1760,53275,4000
2008,4748000,"Memphis city, Tennessee",B25004_005,710,502,53275,4000
2008,4748000,"Memphis city, Tennessee",B25004_006,1171,652,53275,4000
2008,4748000,"Memphis city, Tennessee",B25004_007,0,281,53275,4000
2008,4748000,"Memphis city, Tennessee",B25004_008,17577,2362,53275,4000
2009,4748000,"Memphis city, Tennessee",B25004_001,55805,4135,55805,4135
2009,4748000,"Memphis city, Tennessee",B25004_002,23811,2856,55805,4135
2009,4748000,"Memphis city, Tennessee",B25004_003,1206,717,55805,4135
2009,4748000,"Memphis city, Tennessee",B25004_004,5780,1522,55805,4135
2009,4748000,"Memphis city, Tennessee",B25004_005,1246,701,55805,4135
2009,4748000,"Memphis city, Tennessee",B25004_006,1331,749,55805,4135
2009,4748000,"Memphis city, Tennessee",B25004_007,0,283,55805,4135
2009,4748000,"Memphis city, Tennessee",B25004_008,22431,2779,55805,4135
2010,4748000,"Memphis city, Tennessee",B25004_001,52445,3676,52445,3676
2010,4748000,"Memphis city, Tennessee",B25004_002,23321,2781,52445,3676
2010,4748000,"Memphis city, Tennessee",B25004_003,1995,941,52445,3676
2010,4748000,"Memphis city, Tennessee",B25004_004,4794,1314,52445,3676
2010,4748000,"Memphis city, Tennessee",B25004_005,964,622,52445,3676
2010,4748000,"Memphis city, Tennessee",B25004_006,543,372,52445,3676
2010,4748000,"Memphis city, Tennessee",B25004_007,0,287,52445,3676
2010,4748000,"Memphis city, Tennessee",B25004_008,20828,2241,52445,3676
2011,4748000,"Memphis city, Tennessee",B25004_001,48309,3548,48309,3548
2011,4748000,"Memphis city, Tennessee",B25004_002,17191,2092,48309,3548
2011,4748000,"Memphis city, Tennessee",B25004_003,991,681,48309,3548
2011,4748000,"Memphis city, Tennessee",B25004_004,3755,1139,48309,3548
2011,4748000,"Memphis city, Tennessee",B25004_005,2583,893,48309,3548
2011,4748000,"Memphis city, Tennessee",B25004_006,1375,586,48309,3548
2011,4748000,"Memphis city, Tennessee",B25004_007,0,208,48309,3548
2011,4748000,"Memphis city, Tennessee",B25004_008,22414,2585,48309,3548
2012,4748000,"Memphis city, Tennessee",B25004_001,49362,3543,49362,3543
2012,4748000,"Memphis city, Tennessee",B25004_002,15889,2408,49362,3543
2012,4748000,"Memphis city, Tennessee",B25004_003,1369,653,49362,3543
2012,4748000,"Memphis city, Tennessee",B25004_004,2830,867,49362,3543
2012,4748000,"Memphis city, Tennessee",B25004_005,2250,1020,49362,3543
2012,4748000,"Memphis city, Tennessee",B25004_006,1925,629,49362,3543
2012,4748000,"Memphis city, Tennessee",B25004_007,0,193,49362,3543
2012,4748000,"Memphis city, Tennessee",B25004_008,25099,2381,49362,3543
2013,4748000,"Memphis city, Tennessee",B25004_001,47308,3327,47308,3327
2013,4748000,"Memphis city, Tennessee",B25004_002,18762,2194,47308,3327
2013,4748000,"Memphis city, Tennessee",B25004_003,727,563,47308,3327
2013,4748000,"Memphis city, Tennessee",B25004_004,3352,1009,47308,3327
2013,4748000,"Memphis city, Tennessee",B25004_005,400,352,47308,3327
2013,4748000,"Memphis city, Tennessee",B25004_006,1315,548,47308,3327
2013,4748000,"Memphis city, Tennessee",B25004_007,0,203,47308,3327
2013,4748000,"Memphis city, Tennessee",B25004_008,22752,2322,47308,3327
2014,4748000,"Memphis city, Tennessee",B25004_001,50084,3184,50084,3184
2014,4748000,"Memphis city, Tennessee",B25004_002,15874,1799,50084,3184
2014,4748000,"Memphis city, Tennessee",B25004_003,1425,708,50084,3184
2014,4748000,"Memphis city, Tennessee",B25004_004,3054,1140,50084,3184
2014,4748000,"Memphis city, Tennessee",B25004_005,1694,835,50084,3184
2014,4748000,"Memphis city, Tennessee",B25004_006,2022,709,50084,3184
2014,4748000,"Memphis city, Tennessee",B25004_007,0,198,50084,3184
2014,4748000,"Memphis city, Tennessee",B25004_008,26015,2251,50084,3184
2015,4748000,"Memphis city, Tennessee",B25004_001,49629,3767,49629,3767
2015,4748000,"Memphis city, Tennessee",B25004_002,16061,2255,49629,3767
2015,4748000,"Memphis city, Tennessee",B25004_003,2128,768,49629,3767
2015,4748000,"Memphis city, Tennessee",B25004_004,2156,816,49629,3767
2015,4748000,"Memphis city, Tennessee",B25004_005,1353,746,49629,3767
2015,4748000,"Memphis city, Tennessee",B25004_006,1521,881,49629,3767
2015,4748000,"Memphis city, Tennessee",B25004_007,149,174,49629,3767
2015,4748000,"Memphis city, Tennessee",B25004_008,26261,2761,49629,3767
2016,4748000,"Memphis city, Tennessee",B25004_001,46915,3681,46915,3681
2016,4748000,"Memphis city, Tennessee",B25004_002,14708,2329,46915,3681
2016,4748000,"Memphis city, Tennessee",B25004_003,1602,659,46915,3681
2016,4748000,"Memphis city, Tennessee",B25004_004,2407,1121,46915,3681
2016,4748000,"Memphis city, Tennessee",B25004_005,1248,611,46915,3681
2016,4748000,"Memphis city, Tennessee",B25004_006,1103,664,46915,3681
2016,4748000,"Memphis city, Tennessee",B25004_007,80,131,46915,3681
2016,4748000,"Memphis city, Tennessee",B25004_008,25767,2736,46915,3681
2017,4748000,"Memphis city, Tennessee",B25004_001,51603,3745,51603,3745
2017,4748000,"Memphis city, Tennessee",B25004_002,14138,2089,51603,3745
2017,4748000,"Memphis city, Tennessee",B25004_003,3363,1070,51603,3745
2017,4748000,"Memphis city, Tennessee",B25004_004,1638,880,51603,3745
2017,4748000,"Memphis city, Tennessee",B25004_005,731,466,51603,3745
2017,4748000,"Memphis city, Tennessee",B25004_006,615,432,51603,3745
2017,4748000,"Memphis city, Tennessee",B25004_007,0,208,51603,3745
2017,4748000,"Memphis city, Tennessee",B25004_008,31118,2680,51603,3745
2018,4748000,"Memphis city, Tennessee",B25004_001,47788,3300,47788,3300
2018,4748000,"Memphis city, Tennessee",B25004_002,11253,1933,47788,3300
2018,4748000,"Memphis city, Tennessee",B25004_003,4179,1253,47788,3300
2018,4748000,"Memphis city, Tennessee",B25004_004,1177,695,47788,3300
2018,4748000,"Memphis city, Tennessee",B25004_005,1140,671,47788,3300
2018,4748000,"Memphis city, Tennessee",B25004_006,1523,607,47788,3300
2018,4748000,"Memphis city, Tennessee",B25004_007,101,168,47788,3300
2018,4748000,"Memphis city, Tennessee",B25004_008,28415,2500,47788,3300
2019,4748000,"Memphis city, Tennessee",B25004_001,47050,3354,47050,3354
2019,4748000,"Memphis city, Tennessee",B25004_002,15042,2188,47050,3354
2019,4748000,"Memphis city, Tennessee",B25004_003,2494,1193,47050,3354
2019,4748000,"Memphis city, Tennessee",B25004_004,2020,933,47050,3354
2019,4748000,"Memphis city, Tennessee",B25004_005,1662,815,47050,3354
2019,4748000,"Memphis city, Tennessee",B25004_006,1066,653,47050,3354
2019,4748000,"Memphis city, Tennessee",B25004_007,121,201,47050,3354
2019,4748000,"Memphis city, Tennessee",B25004_008,24645,2587,47050,3354
2021,4748000,"Memphis city, Tennessee",B25004_001,31523,2600,31523,2600
2021,4748000,"Memphis city, Tennessee",B25004_002,8545,1471,31523,2600
2021,4748000,"Memphis city, Tennessee",B25004_003,1085,654,31523,2600
2021,4748000,"Memphis city, Tennessee",B25004_004,1104,695,31523,2600
2021,4748000,"Memphis city, Tennessee",B25004_005,46,75,31523,2600
2021,4748000,"Memphis city, Tennessee",B25004_006,762,385,31523,2600
2021,4748000,"Memphis city, Tennessee",B25004_007,0,224,31523,2600
2021,4748000,"Memphis city, Tennessee",B25004_008,19981,2177,31523,2600
2005,4748000,"Memphis city, Tennessee",B25005_001,37403,4265,37403,4265
2005,4748000,"Memphis city, Tennessee",B25005_002,1208,713,37403,4265
2005,4748000,"Memphis city, Tennessee",B25005_003,36195,4257,37403,4265
2006,4748000,"Memphis city, Tennessee",B25005_001,45426,4128,45426,4128
2006,4748000,"Memphis city, Tennessee",B25005_002,1064,711,45426,4128
2006,4748000,"Memphis city, Tennessee",B25005_003,44362,4159,45426,4128
2007,4748000,"Memphis city, Tennessee",B25005_001,46498,4180,46498,4180
2007,4748000,"Memphis city, Tennessee",B25005_002,2498,1006,46498,4180
2007,4748000,"Memphis city, Tennessee",B25005_003,44000,4274,46498,4180
2008,4748000,"Memphis city, Tennessee",B25005_001,53275,4000,53275,4000
2008,4748000,"Memphis city, Tennessee",B25005_002,1471,749,53275,4000
2008,4748000,"Memphis city, Tennessee",B25005_003,51804,3969,53275,4000
2009,4748000,"Memphis city, Tennessee",B25005_001,55805,4135,55805,4135
2009,4748000,"Memphis city, Tennessee",B25005_002,866,474,55805,4135
2009,4748000,"Memphis city, Tennessee",B25005_003,54939,4165,55805,4135
2010,4748000,"Memphis city, Tennessee",B25005_001,52445,3676,52445,3676
2010,4748000,"Memphis city, Tennessee",B25005_002,742,438,52445,3676
2010,4748000,"Memphis city, Tennessee",B25005_003,51703,3646,52445,3676
2011,4748000,"Memphis city, Tennessee",B25005_001,48309,3548,48309,3548
2011,4748000,"Memphis city, Tennessee",B25005_002,954,518,48309,3548
2011,4748000,"Memphis city, Tennessee",B25005_003,47355,3625,48309,3548
2012,4748000,"Memphis city, Tennessee",B25005_001,49362,3543,49362,3543
2012,4748000,"Memphis city, Tennessee",B25005_002,1140,664,49362,3543
2012,4748000,"Memphis city, Tennessee",B25005_003,48222,3449,49362,3543
2013,4748000,"Memphis city, Tennessee",B25005_001,47308,3327,47308,3327
2013,4748000,"Memphis city, Tennessee",B25005_002,1183,589,47308,3327
2013,4748000,"Memphis city, Tennessee",B25005_003,46125,3280,47308,3327
2014,4748000,"Memphis city, Tennessee",B25005_001,50084,3184,50084,3184
2014,4748000,"Memphis city, Tennessee",B25005_002,823,353,50084,3184
2014,4748000,"Memphis city, Tennessee",B25005_003,49261,3193,50084,3184
2015,4748000,"Memphis city, Tennessee",B25005_001,49629,3767,49629,3767
2015,4748000,"Memphis city, Tennessee",B25005_002,609,484,49629,3767
2015,4748000,"Memphis city, Tennessee",B25005_003,49020,3738,49629,3767
2016,4748000,"Memphis city, Tennessee",B25005_001,46915,3681,46915,3681
2016,4748000,"Memphis city, Tennessee",B25005_002,135,127,46915,3681
2016,4748000,"Memphis city, Tennessee",B25005_003,46780,3691,46915,3681
2017,4748000,"Memphis city, Tennessee",B25005_001,51603,3745,51603,3745
2017,4748000,"Memphis city, Tennessee",B25005_002,2069,907,51603,3745
2017,4748000,"Memphis city, Tennessee",B25005_003,49534,3554,51603,3745
2018,4748000,"Memphis city, Tennessee",B25005_001,47788,3300,47788,3300
2018,4748000,"Memphis city, Tennessee",B25005_002,2299,924,47788,3300
2018,4748000,"Memphis city, Tennessee",B25005_003,45489,3090,47788,3300
2019,4748000,"Memphis city, Tennessee",B25005_001,47050,3354,47050,3354
2019,4748000,"Memphis city, Tennessee",B25005_002,1794,741,47050,3354
2019,4748000,"Memphis city, Tennessee",B25005_003,45256,3245,47050,3354
2021,4748000,"Memphis city, Tennessee",B25005_001,31523,2600,31523,2600
2021,4748000,"Memphis city, Tennessee",B25005_002,1497,847,31523,2600
2021,4748000,"Memphis city, Tennessee",B25005_003,30026,2515,31523,2600
2021,4748000,"Memphis city, Tennessee",B25130_001,19981,2177,19981,2177
2021,4748000,"Memphis city, Tennessee",B25130_002,113,188,19981,2177
2021,4748000,"Memphis city, Tennessee",B25130_003,984,526,19981,2177
2021,4748000,"Memphis city, Tennessee",B25130_004,272,263,19981,2177
2021,4748000,"Memphis city, Tennessee",B25130_005,988,555,19981,2177
2021,4748000,"Memphis city, Tennessee",B25130_006,202,173,19981,2177
2021,4748000,"Memphis city, Tennessee",B25130_007,5743,1358,19981,2177
2021,4748000,"Memphis city, Tennessee",B25130_008,3583,1081,19981,2177
2021,4748000,"Memphis city, Tennessee",B25130_009,182,150,19981,2177
2021,4748000,"Memphis city, Tennessee",B25130_010,400,340,19981,2177
2021,4748000,"Memphis city, Tennessee",B25130_011,4723,1015,19981,2177
2021,4748000,"Memphis city, Tennessee",B25130_012,2791,1187,19981,2177
2021,4748000,"Memphis city, Tennessee",B25131_001,31523,2600,31523,2600
2021,4748000,"Memphis city, Tennessee",B25131_002,3755,1209,31523,2600
2021,4748000,"Memphis city, Tennessee",B25131_003,4097,1414,31523,2600
2021,4748000,"Memphis city, Tennessee",B25131_004,2915,945,31523,2600
2021,4748000,"Memphis city, Tennessee",B25131_005,1982,796,31523,2600
2021,4748000,"Memphis city, Tennessee",B25131_006,2949,826,31523,2600
2021,4748000,"Memphis city, Tennessee",B25131_007,4238,1069,31523,2600
2021,4748000,"Memphis city, Tennessee",B25131_008,11587,1820,31523,2600
2005,4748000,"Memphis city, Tennessee",B25003_001,261983,4867,261983,4867
2005,4748000,"Memphis city, Tennessee",B25003_002,142030,3998,261983,4867
2005,4748000,"Memphis city, Tennessee",B25003_003,119953,4329,261983,4867
2006,4748000,"Memphis city, Tennessee",B25003_001,248836,5436,248836,5436
2006,4748000,"Memphis city, Tennessee",B25003_002,136669,4519,248836,5436
2006,4748000,"Memphis city, Tennessee",B25003_003,112167,5067,248836,5436
2007,4748000,"Memphis city, Tennessee",B25003_001,250885,4727,250885,4727
2007,4748000,"Memphis city, Tennessee",B25003_002,133321,4242,250885,4727
2007,4748000,"Memphis city, Tennessee",B25003_003,117564,5144,250885,4727
2008,4748000,"Memphis city, Tennessee",B25003_001,244929,4698,244929,4698
2008,4748000,"Memphis city, Tennessee",B25003_002,135138,3834,244929,4698
2008,4748000,"Memphis city, Tennessee",B25003_003,109791,4062,244929,4698
2009,4748000,"Memphis city, Tennessee",B25003_001,254006,4635,254006,4635
2009,4748000,"Memphis city, Tennessee",B25003_002,134934,4791,254006,4635
2009,4748000,"Memphis city, Tennessee",B25003_003,119072,4968,254006,4635
2010,4748000,"Memphis city, Tennessee",B25003_001,241400,4203,241400,4203
2010,4748000,"Memphis city, Tennessee",B25003_002,125745,3852,241400,4203
2010,4748000,"Memphis city, Tennessee",B25003_003,115655,4165,241400,4203
2011,4748000,"Memphis city, Tennessee",B25003_001,245836,4445,245836,4445
2011,4748000,"Memphis city, Tennessee",B25003_002,121164,4216,245836,4445
2011,4748000,"Memphis city, Tennessee",B25003_003,124672,4416,245836,4445
2012,4748000,"Memphis city, Tennessee",B25003_001,247478,3642,247478,3642
2012,4748000,"Memphis city, Tennessee",B25003_002,123895,4121,247478,3642
2012,4748000,"Memphis city, Tennessee",B25003_003,123583,4433,247478,3642
2013,4748000,"Memphis city, Tennessee",B25003_001,250302,4332,250302,4332
2013,4748000,"Memphis city, Tennessee",B25003_002,120557,4381,250302,4332
2013,4748000,"Memphis city, Tennessee",B25003_003,129745,4668,250302,4332
2014,4748000,"Memphis city, Tennessee",B25003_001,250553,3753,250553,3753
2014,4748000,"Memphis city, Tennessee",B25003_002,119076,4245,250553,3753
2014,4748000,"Memphis city, Tennessee",B25003_003,131477,3999,250553,3753
2015,4748000,"Memphis city, Tennessee",B25003_001,250324,4428,250324,4428
2015,4748000,"Memphis city, Tennessee",B25003_002,117567,3889,250324,4428
2015,4748000,"Memphis city, Tennessee",B25003_003,132757,5286,250324,4428
2016,4748000,"Memphis city, Tennessee",B25003_001,256973,4572,256973,4572
2016,4748000,"Memphis city, Tennessee",B25003_002,112762,3927,256973,4572
2016,4748000,"Memphis city, Tennessee",B25003_003,144211,4748,256973,4572
2017,4748000,"Memphis city, Tennessee",B25003_001,246518,4056,246518,4056
2017,4748000,"Memphis city, Tennessee",B25003_002,113341,3325,246518,4056
2017,4748000,"Memphis city, Tennessee",B25003_003,133177,4394,246518,4056
2018,4748000,"Memphis city, Tennessee",B25003_001,252517,4720,252517,4720
2018,4748000,"Memphis city, Tennessee",B25003_002,117384,4301,252517,4720
2018,4748000,"Memphis city, Tennessee",B25003_003,135133,5287,252517,4720
2019,4748000,"Memphis city, Tennessee",B25003_001,254423,4870,254423,4870
2019,4748000,"Memphis city, Tennessee",B25003_002,118107,4631,254423,4870
2019,4748000,"Memphis city, Tennessee",B25003_003,136316,4609,254423,4870
2021,4748000,"Memphis city, Tennessee",B25003_001,256968,4780,256968,4780
2021,4748000,"Memphis city, Tennessee",B25003_002,119622,4608,256968,4780
2021,4748000,"Memphis city, Tennessee",B25003_003,137346,5685,256968,4780
2005,4748000,"Memphis city, Tennessee",B25008_001,642251,10403,642251,10403
2005,4748000,"Memphis city, Tennessee",B25008_002,363199,12717,642251,10403
2005,4748000,"Memphis city, Tennessee",B25008_003,279052,12831,642251,10403
2006,4748000,"Memphis city, Tennessee",B25008_001,621667,9906,621667,9906
2006,4748000,"Memphis city, Tennessee",B25008_002,344435,13360,621667,9906
2006,4748000,"Memphis city, Tennessee",B25008_003,277232,13021,621667,9906
2007,4748000,"Memphis city, Tennessee",B25008_001,620174,9721,620174,9721
2007,4748000,"Memphis city, Tennessee",B25008_002,342099,13190,620174,9721
2007,4748000,"Memphis city, Tennessee",B25008_003,278075,12646,620174,9721
2008,4748000,"Memphis city, Tennessee",B25008_001,619811,10495,619811,10495
2008,4748000,"Memphis city, Tennessee",B25008_002,347191,10954,619811,10495
2008,4748000,"Memphis city, Tennessee",B25008_003,272620,10826,619811,10495
2009,4748000,"Memphis city, Tennessee",B25008_001,659283,4054,659283,4054
2009,4748000,"Memphis city, Tennessee",B25008_002,353446,14922,659283,4054
2009,4748000,"Memphis city, Tennessee",B25008_003,305837,14625,659283,4054
2010,4748000,"Memphis city, Tennessee",B25008_001,627420,4851,627420,4851
2010,4748000,"Memphis city, Tennessee",B25008_002,323576,10850,627420,4851
2010,4748000,"Memphis city, Tennessee",B25008_003,303844,11230,627420,4851
2011,4748000,"Memphis city, Tennessee",B25008_001,636900,2356,636900,2356
2011,4748000,"Memphis city, Tennessee",B25008_002,316296,12656,636900,2356
2011,4748000,"Memphis city, Tennessee",B25008_003,320604,12607,636900,2356
2012,4748000,"Memphis city, Tennessee",B25008_001,640009,2159,640009,2159
2012,4748000,"Memphis city, Tennessee",B25008_002,317419,12517,640009,2159
2012,4748000,"Memphis city, Tennessee",B25008_003,322590,12479,640009,2159
2013,4748000,"Memphis city, Tennessee",B25008_001,638515,2194,638515,2194
2013,4748000,"Memphis city, Tennessee",B25008_002,308165,11108,638515,2194
2013,4748000,"Memphis city, Tennessee",B25008_003,330350,11029,638515,2194
2014,4748000,"Memphis city, Tennessee",B25008_001,641499,2351,641499,2351
2014,4748000,"Memphis city, Tennessee",B25008_002,300285,10979,641499,2351
2014,4748000,"Memphis city, Tennessee",B25008_003,341214,10901,641499,2351
2015,4748000,"Memphis city, Tennessee",B25008_001,639052,2687,639052,2687
2015,4748000,"Memphis city, Tennessee",B25008_002,303844,13653,639052,2687
2015,4748000,"Memphis city, Tennessee",B25008_003,335208,13692,639052,2687
2016,4748000,"Memphis city, Tennessee",B25008_001,636387,2081,636387,2081
2016,4748000,"Memphis city, Tennessee",B25008_002,275938,12063,636387,2081
2016,4748000,"Memphis city, Tennessee",B25008_003,360449,12001,636387,2081
2017,4748000,"Memphis city, Tennessee",B25008_001,637165,2195,637165,2195
2017,4748000,"Memphis city, Tennessee",B25008_002,297860,10466,637165,2195
2017,4748000,"Memphis city, Tennessee",B25008_003,339305,10949,637165,2195
2018,4748000,"Memphis city, Tennessee",B25008_001,635969,2261,635969,2261
2018,4748000,"Memphis city, Tennessee",B25008_002,300609,12650,635969,2261
2018,4748000,"Memphis city, Tennessee",B25008_003,335360,12624,635969,2261
2019,4748000,"Memphis city, Tennessee",B25008_001,636941,2231,636941,2231
2019,4748000,"Memphis city, Tennessee",B25008_002,310064,12946,636941,2231
2019,4748000,"Memphis city, Tennessee",B25008_003,326877,12839,636941,2231
2021,4748000,"Memphis city, Tennessee",B25008_001,614696,5245,614696,5245
2021,4748000,"Memphis city, Tennessee",B25008_002,287339,12634,614696,5245
2021,4748000,"Memphis city, Tennessee",B25008_003,327357,13164,614696,5245
2005,4748000,"Memphis city, Tennessee",B25010_001,2.45,0.04,2.45,0
2005,4748000,"Memphis city, Tennessee",B25010_002,2.56,0.07,2.45,0
2005,4748000,"Memphis city, Tennessee",B25010_003,2.33,0.08,2.45,0
2006,4748000,"Memphis city, Tennessee",B25010_001,2.5,0.05,2.5,0
2006,4748000,"Memphis city, Tennessee",B25010_002,2.52,0.06,2.5,0
2006,4748000,"Memphis city, Tennessee",B25010_003,2.47,0.09,2.5,0
2007,4748000,"Memphis city, Tennessee",B25010_001,2.47,0.04,2.47,0
2007,4748000,"Memphis city, Tennessee",B25010_002,2.57,0.07,2.47,0
2007,4748000,"Memphis city, Tennessee",B25010_003,2.37,0.07,2.47,0
2008,4748000,"Memphis city, Tennessee",B25010_001,2.53,0.05,2.53,0
2008,4748000,"Memphis city, Tennessee",B25010_002,2.57,0.08,2.53,0
2008,4748000,"Memphis city, Tennessee",B25010_003,2.48,0.08,2.53,0
2009,4748000,"Memphis city, Tennessee",B25010_001,2.6,0.05,2.6,0
2009,4748000,"Memphis city, Tennessee",B25010_002,2.62,0.08,2.6,0
2009,4748000,"Memphis city, Tennessee",B25010_003,2.57,0.09,2.6,0
2010,4748000,"Memphis city, Tennessee",B25010_001,2.6,0.04,2.6,0
2010,4748000,"Memphis city, Tennessee",B25010_002,2.57,0.07,2.6,0
2010,4748000,"Memphis city, Tennessee",B25010_003,2.63,0.08,2.6,0
2011,4748000,"Memphis city, Tennessee",B25010_001,2.59,0.05,2.59,0
2011,4748000,"Memphis city, Tennessee",B25010_002,2.61,0.08,2.59,0
2011,4748000,"Memphis city, Tennessee",B25010_003,2.57,0.08,2.59,0
2012,4748000,"Memphis city, Tennessee",B25010_001,2.59,0.04,2.59,0
2012,4748000,"Memphis city, Tennessee",B25010_002,2.56,0.06,2.59,0
2012,4748000,"Memphis city, Tennessee",B25010_003,2.61,0.07,2.59,0
2013,4748000,"Memphis city, Tennessee",B25010_001,2.55,0.04,2.55,0
2013,4748000,"Memphis city, Tennessee",B25010_002,2.56,0.08,2.55,0
2013,4748000,"Memphis city, Tennessee",B25010_003,2.55,0.07,2.55,0
2014,4748000,"Memphis city, Tennessee",B25010_001,2.56,0.04,2.56,0
